,品名,规格,市场,价格,趋势,周涨跌,月涨跌,年涨跌
241, 墨旱莲 , 全草统 较.. ,荷花池,6.00,平,0.00%,0.00%,0.00%
242, 诃子 , 带壳统 云.. ,荷花池,10.00,慢,0.00%,0.00%,-16.67%
243, 合欢皮 , 统个 较广 ,荷花池,10.00,慢,0.00%,0.00%,-23.08%
244, 何首乌 , 家统片 较.. ,荷花池,24.00,慢,0.00%,0.00%,-20.00%
245, 荷叶 , 统货 较广 ,荷花池,9.00,慢,0.00%,0.00%,-25.00%
246, 红参 , 无糖片 东.. ,荷花池,210.00,慢,0.00%,0.00%,31.25%
247, 红花 , 统 新疆 ,荷花池,90.00,慢,0.00%,0.00%,-10.00%
248, 红花 , 统 云南 ,荷花池,90.00,慢,0.00%,0.00%,-12.62%
249, 铁皮石斛 , 统条 云南 ,荷花池,160.00,慢,0.00%,0.00%,-27.27%
250, 大枣 , 食用小个 .. ,荷花池,8.00,慢,0.00%,0.00%,-27.27%
251, 厚朴 , 板皮统 较.. ,荷花池,13.00,平,0.00%,0.00%,-13.33%
252, 胡黄连 , 选 西藏 ,荷花池,240.00,慢,0.00%,0.00%,-27.27%
253, 虎杖 , 统片 较广 ,荷花池,9.00,平,0.00%,0.00%,0.00%
254, 牛膝 , 大粒 河北 ,荷花池,28.00,慢,0.00%,0.00%,-15.15%
255, 牛膝 , 小粒 河北 ,荷花池,19.00,慢,0.00%,0.00%,-13.64%
256, 槐花 , 花蕾统 山.. ,荷花池,20.00,平,0.00%,0.00%,11.11%
257, 黄柏 , 双面黄丝 .. ,荷花池,65.00,平,0.00%,4.84%,-13.33%
258, 芥子 , 白统 较广 ,荷花池,19.00,慢,0.00%,0.00%,5.56%
259, 黄精 , 统个 西南 ,荷花池,66.00,慢,0.00%,0.00%,17.86%
260, 黄连 , 鸡爪统 重.. ,荷花池,350.00,平,0.00%,0.00%,-5.41%
261, 黄连 , 单支统 重.. ,荷花池,360.00,平,0.00%,0.00%,-7.69%
262, 黄芪 , 指甲片 甘.. ,荷花池,25.00,平,0.00%,0.00%,13.64%
263, 黄芩 , 家种统个 .. ,荷花池,18.00,慢,0.00%,0.00%,-33.33%
264, 火麻仁 , 带壳 较广 ,荷花池,13.00,慢,0.00%,0.00%,0.00%
265, 鸡骨草 , 小叶光杆 .. ,荷花池,19.00,慢,0.00%,0.00%,-24.00%
266, 鸡内金 , 统个 较广 ,荷花池,11.00,平,0.00%,0.00%,0.00%
267, 鸡血藤 , 统片 进口 ,荷花池,10.00,慢,0.00%,0.00%,-9.09%
268, 积雪草 , 统个 较广 ,荷花池,11.00,慢,0.00%,0.00%,-15.38%
269, 急性子 , 统 较广 ,荷花池,29.00,慢,0.00%,0.00%,-44.23%
270, 姜黄 , 统个 四川 ,荷花池,21.00,平,0.00%,0.00%,-16.00%
271, 降香 , 下脚料 越.. ,荷花池,130.00,慢,0.00%,0.00%,8.33%
272, 金果榄 , 统 西南 ,荷花池,155.00,慢,0.00%,0.00%,-32.61%
273, 金荞麦 , 统片 云南 ,荷花池,13.00,慢,0.00%,0.00%,-13.33%
